Date,Close
2019-07-22,27000
2019-07-23,26450
2019-07-24,25700
2019-07-25,26050
2019-07-26,26200
2019-07-29,25050
2019-07-30,25650
2019-07-31,24650
2019-08-01,24300
2019-08-02,24100
2019-08-05,22000
2019-08-06,21250
2019-08-07,22600
2019-08-08,22550
2019-08-09,22700
2019-08-12,25050
2019-08-13,24000
2019-08-14,25000
2019-08-16,25050
2019-08-19,24900
2019-08-20,25200
2019-08-21,25750
2019-08-22,25400
2019-08-23,25000
2019-08-26,23750
2019-08-27,23800
2019-08-28,24400
2019-08-29,24000
2019-08-30,24000
2019-09-02,24200
2019-09-03,24050
2019-09-04,24800
2019-09-05,25000
2019-09-06,24500
2019-09-09,23900
2019-09-10,23550
2019-09-11,23500
2019-09-16,23650
2019-09-17,24050
2019-09-18,23800
2019-09-19,23550
2019-09-20,23850
2019-09-23,24000
2019-09-24,23700
2019-09-25,22950
2019-09-26,23050
2019-09-27,23000
2019-09-30,22600
2019-10-01,23500
2019-10-02,22700
2019-10-04,22450
2019-10-07,22450
2019-10-08,22900
2019-10-10,23250
2019-10-11,23650
2019-10-14,23650
2019-10-15,23700
2019-10-16,23500
2019-10-17,23400
2019-10-18,23450
2019-10-21,22550
2019-10-22,22550
2019-10-23,22950
2019-10-24,22950
2019-10-25,22600
2019-10-28,23050
2019-10-29,22900
2019-10-30,22850
2019-10-31,22850
2019-11-01,22500
2019-11-04,23350
2019-11-05,23350
2019-11-06,23350
2019-11-07,23800
2019-11-08,23600
2019-11-11,23050
2019-11-12,23350
2019-11-13,23500
2019-11-14,23950
2019-11-15,24000
2019-11-18,24000
2019-11-19,23500
2019-11-20,22700
2019-11-21,22150
2019-11-22,22050
2019-11-25,22400
2019-11-26,23050
2019-11-27,23450
2019-11-28,22900
2019-11-29,22450
2019-12-02,22250
2019-12-03,22700
2019-12-04,22350
2019-12-05,22300
2019-12-06,22700
2019-12-09,22550
2019-12-10,22300
2019-12-11,22350
2019-12-12,22300
2019-12-13,22750
2019-12-16,22800
2019-12-17,23400
2019-12-18,23050
2019-12-19,23150
2019-12-20,23150
2019-12-23,23250
2019-12-24,23200
2019-12-26,23400
2019-12-27,23500
2019-12-30,23650
